X,Y,Project ID,AGENCY_INF,LOCATION,INFRA,Project Co,Project De,Source_Yea,Source_Mod,Programmed,Cont. Amou,Mode of Im,Accomp to,TimeTable_,TimeTabl_1,TimeTabl_2,Accomp_Pla,Accomp_Act,Accomp_Sli,Remarks,NAME OF AI,geometry,2010,2012,2013,2014,2015,2016,2017,2018
120.531094025,18.1761281833333,AIRPORT PROJECTS 5,DND,,LAOAG INT'L AIRPORT,AIRPORT PROJECTS 5,"LAOAG INT'L AIRPORT - Strip grade correction, concrete paving of VPA and access road, asphalt overlay of runway, outsource of DED.","2018",GAA,368.500000000000000,,MOA with DND,0.000000000000000,,,,,,,"MOA Approved, Fund Transferred. Bid out: 17-Nov-19. For issuance of NTP|  |",LAOAG AIRPORT,POINT (120.531094025 18.17612818333333),"177339",188048.000000000000000,"243016","196437","204550","204156","161019","151808"
120.3514475,17.5538810833333,AIRPORT PROJECTS 7,CAAP,,VIGAN AIRPORT,AIRPORT PROJECTS 7,VIGAN AIRPORT - Site Acquisition (150M),"2018",GAA,150.000000000000000,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved: 22-Jan-19.For research to identify affected parcels.| |,VIGAN AIRPORT,POINT (120.3514475 17.55388108333333),"6150",6671.000000000000000,"8296","7589","13661","15874","39733","47856"
121.503655666667,15.7179950277778,AIRPORT PROJECTS 37,CAAP,,BALER AIRPORT,AIRPORT PROJECTS 37,"BALER AIRPORT (320m)- Construction of PTB (760sqm) Site Development, Construciton of Apron (110mx70m) and taxiway (2-65mx30m), Provision of PAPI","2017",GAA,181.552000000000021,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved.Ongoing Procurement. Opening of Bids â€“ Dec. 2019|  |,BALER AIRPORT,POINT (121.5036556666667 15.71799502777778),"376",998.000000000000000,"2369",,"2341","2363","2040","1423"
121.503655666667,15.7179950277778,AIRPORT PROJECTS 38,CAAP,,BALER AIRPORT(320m)-,AIRPORT PROJECTS 38,BALER AIRPORT(320m)- Lot Acquisition for expansion of landslide area including relocation of apron and taxiway (400m x 250m),"2017",GAA,62.928999999999995,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved.Ongoing Procurement of Independent Property Appraiser (IPA),BALER AIRPORT,POINT (121.5036556666667 15.71799502777778),"376",998.000000000000000,"2369",,"2341","2363","2040","1423"
121.980228666667,20.4514528694444,AIRPORT PROJECTS 12,CAAP,,BASCO AIRPORT,AIRPORT PROJECTS 12,BASCO AIRPORT DEVELOPMENT PROJECT - Rehabilitation of PTB & Asphalt Overlay,"2018",GAA,145.000000000000000,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved: 14-Mar-19. Ongoing DED|  |,BASCO AIRPORT,POINT (121.9802286666667 20.45145286944445),"18924",25588.000000000000000,"32467","60683","73383","82853","104089","151093"
121.733136111111,17.6435361111111,AIRPORT PROJECTS 18,CAAP,,TUGUEGARAO AIRPORT,AIRPORT PROJECTS 18,TUGUEGARAO AIRPORT - Construction of Control Tower,"2018",GAA,61.799999999999997,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved.  For procurement|  |,TUGUEGARAO,POINT (121.7331361111111 17.64353611111111),"116525",223907.000000000000000,"141151","151608","174322","186193","209358","384819"
121.758644444444,16.9263444444444,AIRPORT PROJECTS 26,CAAP,,CAUAYAN AIRPORT,AIRPORT PROJECTS 26,CAUAYAN AIRPORT - Continuation of Asphalt Overlay of Runway,"2018",GAA,,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved: 13-Nov-18. For Bid evaluation|  |,CAUAYAN AIRPORT,POINT (121.7586444444444 16.92634444444445),"36678",44908.000000000000000,"56084","56909","60967","85691","103011","222591"
120.100737127778,12.1219000944444,AIRPORT PROJECTS 45,CAAP,,BUSUANGA AIRPORT,AIRPORT PROJECTS 45,BUSUANGA AIRPORT - Improvement of drainage system,"2018",GAA,5.000000000000000,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved: 22-Jan-19.For presentation of Post-Qua Report.| |,BUSUANGA Francisco B. Reyes AIRPORT,POINT (120.1007371277778 12.12190009444445),"140660",257428.799999999988358,"272979","205251","285918","321595","525044","676823"
121.068072,10.8612489166667,AIRPORT PROJECTS 50,CAAP,,CUYO AIRPORT,AIRPORT PROJECTS 50,CUYO AIRPORT - Concreting of runway,"2018",GAA,30.000000000000000,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved: 22-Jan-19.Ongoing DED|  |,CUYO AIRPORT,POINT (121.068072 10.86124891666667),,70.000000000000000,,"1603","1496","2506","5255","4482"
121.20179375,13.4167772777778,AIRPORT PROJECTS 54,CAAP,,CALAPAN AIRPORT,AIRPORT PROJECTS 54,CALAPAN AIRPORT - Asphalting of Runway,"2018",GAA,40.000000000000000,,MOA with CAAP,0.000000000000000,,,,,,,MOA approved: 22-Jan-19. For processing of POW and Plans|  |,CALAPAN AIRPORT,POINT (121.20179375 13.41677727777778),,,,"769","3573","3932","3052","3460"
